Discord Name (Discord User ID),Org/Tournament Name,Tournament Permalink,Tournament Day/Start Time in EST/CEST,Game (GGST or SF6),Region
aisk,SaltyEU,https://saltyeu.challonge.com/,Monday 1PM EST,GGST (EMEA),EMEA
aisk,SaltyEU,https://saltyeu.challonge.com/,Friday 7PM CEST,SF6 (EMEA),EMEA
astico,The Wild Tide,https://challonge.com/communities/TheWildTide,Tuesday 7pm CEST,GGST,EMEA
daisyfield,RELOAD,https://challonge.com/communities/reloadGGST,Sunday 5pm CEST,GGST,EMEA
Senzer,NewChallenger EU,https://newchallenger.challonge.com,Friday 8PM CEST,SF6,EMEA
dirt_fgc,Glue Arcade,https://challonge.com/communities/glarc,"Saturday 7pm GMT (weekly, except the first week of each month)",GGST,EMEA
GideonTheGreat,EMEA GGST/Strving For Glory,https://challonge.com/communities/EMEAGGST,Wednesday 19:00 CEST (Weekly),,EMEA
GideonTheGreat,EMEA GGST/Striving For Progress,https://challonge.com/communities/EMEAGGST,Sunday 19:00 CEST (Weekly),,EMEA
atlriot ,Tension Temple,https://start.gg/tensiontemple,Saturday 8pm EST (Biweekly),GGST,NA
cfresh,Aegis Esports,https://start.gg/sf6weekly,Tuesday 8pm EST,SF6,NA
cfresh,Aegis Esports,https://start.gg/aegisweekly,Wednesday 8pm EST,GGST,NA
cptnhawkeye,Beginner Beatdown,https://start.gg/beginner_beatdown,Saturdays 7pm EST,GGST,NA
embertalks,Ember's Charity Clash Pride 2023,https://www.start.gg/pride2023,Friday June 30th 8PM EST,GGST,NA
heavyslash,Bracket About Nothing,https://start.gg/ban,Tuesday 8PM EST ,GGST,NA
jordainj,Strive Showdown,https://start.gg/StriveShowdown,Monday 6PM EST (Biweekly),GGST,NA
jordainj,Street Showdown,https://www.start.gg/hub/showdown-1/details,Tuesday 6PM EST ,SF6,NA
juicyduelist,Tampa Never Sleeps,https://start.gg/SF6,Wednesdays 8pm Eastern Time,SF6,NA
juicyduelist,Tampa Never Sleeps,https://start.gg/GuiltyGear,Mondays 8pm Eastern Time,GGST,NA
Khalil_.,Let's Rock -Ladder-,https://start.gg/letsrock,Tuesday 7PM EST ,GGST,NA
Khalil_.,Wumpa WarriorZ SF6,https://start.gg/wwsf,Saturday 5PM EST,SF6,NA
LiteTheIronMan,Wild West Guilty Gear,http://start.gg/sugon,Sunday 8PM EST (Monthly),GGST,NA
Lord Rodimus,Iacon Battle Circuit,https://www.start.gg/tournament/iacon-battle-circuit-ggst-24/details,Sunday 7PM EST,GGST,NA
Maxninja,Ironmane,https://start.gg/ironmanesfvi ,Saturday 7pm EST,SF6,NA
midnightmarvel,FGCC SchoolHouse Rock,https://www.start.gg/tournament/fgcc-schoolhouse-rock-11-june-2023/details,Friday 6PM MST,SF6,NA
mufausathe3rd,Digital Havoc,https://start.gg/digitalhavoc,Mondays (Bi-weekly) 7PM EST,GGST,NA
mufausathe3rd,Digital Havoc,https://start.gg/digitalhavoc,Fridays (Bi-weekly) 7PM EST,SF6,NA
nelmsii,BLITZ Drive Impact,https://start.gg/driveimpact,Friday 7pm EST (Monthly),SF6,NA
nickhazard,9Moons,https://start.gg/9MoonsGGST,Saturday 5pm EST (Weekly),GGST,NA
nickhazard,9Moons,https://start.gg/9MoonsSF6,Thursday 8pm EST (Weekly),SF6,NA
nomad_dash,Scrappin' Saturdays,https://www.start.gg/scrap-sat,Saturday 8:30pm EST,SF6,NA
pariahdox,Fightsticks & Flashkicks,https://start.gg/fandf,Thursday 8:30pm EST,GGST,NA
sbz_,Beginner Beatdown [the OG],https://challonge.com/communities/e53f3bd202561e5712658c80,Sunday 6PM EST (Biweekly),GGST,NA
solali,Shut Up and Fight Series,https://start.gg/sufsf6,Saturday 6PM EST (Monthly),SF6,NA
solali,Shut Up and Fight Series,https://start.gg/sufsgg,Sunday 6PM EST (Monthly),GGST,NA
unclesunpuppy,GER,https://start.gg/guiltyear,Wednesday 7:30 EST,GGST,NA
valore,Gorilla Gambit,http://start.gg/gorilla-gambit ,Monthly - Sundays 7pm EST,GGST & SF6,NA
zorroooo,TREESports Back to the Roots,https://www.start.gg/treep,Sunday 7:30PM EST (Biweekly),GGST,NA
ItsJustMorty,Smoked Sessions,https://challonge.com/users/itsjustmorty/tournaments,Thursday 7:00PM CST (Weekly) ,GGST,NA
ItsJustMorty,The Cookout,https://challonge.com/users/itsjustmorty/tournaments,Saturday 7:00PM CST (Weekly),SF6,NA
NagataLockII,Fight For The 6ix,http://start.gg/fft6ix ,Friday 7:00PM EST (Weekly),SF6,NA
Thickhug,Jump Dash Sunday Splash,https://www.start.gg/jumpdash,Sunday 7:00PM EST (Monthly),GGST,NA
baccpack,baccpaBrawl,https://www.start.gg/baccpaBrawl,Thursday 6:00PM EST (Weekly),SF6,NA
baccpack,baccpaBrawl,https://www.start.gg/baccpaBrawl,Friday 6:00PM EST (Weekly),GGST,NA
CasualKnight,Reset Resort 2 ,https://www.start.gg/resetresort,August 18-19 (Seasonal event),"GGST,SF6, SG etc",NA
NeoJudai,Street Fighter Academy,https://www.start.gg/StreetFighterAcademy,Monday 8:00pm EST (Weekly),SF6,NA
NuclearTaco2042,Ride The Railfire ,https://challonge.com/communities/e3f0f8206deef03aa17f5f8b,Sunday 8:00PM EST (Weekly),GGST,NA
NuclearTaco2042 ,Railfire Rumble ,https://challonge.com/communities/e3f0f8206deef03aa17f5f8b,Saturday 8:00PM EST (Weekly),SF6,NA
HDGG,HDGG,https://start.gg/HDGGSF6,Sunday 7PM EST (Weekly),SF6,NA
gougoune,Strive QC/ Slidehead Sundays,https://www.start.gg/SlideheadSundays,Sunday 7pm EST (weekly),GGST,NA
mutedoesathing,QCS Online Kickoff Party,https://start.gg/qcsonline,Friday 6:06 P.M. EST (weekly),"GGST, SF6",NA